WikiData QID	parent	ML_ID	label
Q60790563		ML_RHETORIC_KOLAKEIA	Kolakeia
Q1247925		ML_RHETORIC_LATINITAS-FOUNDATION	Latinitas Foundation
Q13624084		ML_RHETORIC_LEXIS	Lexis
Q12139612		ML_RHETORIC_LIST	list
		ML_RHETORIC_LITERAE-HUMANAE	literae humanae
Q1149297		ML_RHETORIC_LOCALISM	localism
Q1542696		ML_RHETORIC_LOCI-COMMUNES	Loci Communes
Q3257782		ML_RHETORIC_LOCUTION	locution
Q193627		ML_RHETORIC_LOGICAL-POSITIVISM	logical positivism
		ML_RHETORIC_LOGICAL-PROOF	logical proof
Q17113456		ML_RHETORIC_LOGOLOGY	logology
Q180832		ML_RHETORIC_LOGOS	logos
Q1549475		ML_RHETORIC_MAGNANIMITY	magnanimity
		ML_RHETORIC_MAJOR-PREMISE	major premise
		ML_RHETORIC_MATERIAL-FALLACY	material fallacy
Q396447		ML_RHETORIC_MAXIM	Maxim
Q3278958		ML_RHETORIC_MEIOSIS	meiosis
Q492		ML_RHETORIC_MEMORY	memory
		ML_RHETORIC_META-NARRATIVES	meta-narratives
Q18534		ML_RHETORIC_METAPHOR	metaphor
Q1760396		ML_RHETORIC_METRON	Metron
Q169534		ML_RHETORIC_MILITARY-DIVISION	military division
Q103610094		ML_RHETORIC_MINOR-PREMISE	Minor Premise
		ML_RHETORIC_MODUS-INVENIENDI	modus inveniendi
		ML_RHETORIC_MODUS-PROFERENDI	modus proferendi
Q6909140		ML_RHETORIC_MORAL-REASONING	moral reasoning
Q3894383		ML_RHETORIC_MOVERE	Movere
		ML_RHETORIC_NECESSARY-CAUSE	necessary cause
Q54111		ML_RHETORIC_NEOCLASSICAL-ARCHITECTURE	Neoclassical architecture
Q162145		ML_RHETORIC_NEOPLATONISM	Neoplatonism
Q26207914		ML_RHETORIC_NOEMA	Noema
Q825737		ML_RHETORIC_NON-SEQUITUR	non sequitur
Q17110153		ML_RHETORIC_NOTARY-PUBLIC-IN-THE-UNITED-STATES	notary public in the United States
		ML_RHETORIC_OICTOS	oictos
Q104447468		ML_RHETORIC_OMINATION	Omination
Q170239		ML_RHETORIC_ONOMATOPOEIA	onomatopoeia
		ML_RHETORIC_OPTATIO	optatio
Q937840		ML_RHETORIC_ORCS-IN-TOLKIEN'S-LEGENDARIUM	Orcs in Tolkien's legendarium
Q169429		ML_RHETORIC_OXYMORON	oxymoron
Q2449062		ML_RHETORIC_PARADEIGMA	paradeigma
Q483372		ML_RHETORIC_PARADOX	paradox
Q14511256		ML_RHETORIC_PARALIPSIS	Paralipsis
Q10282159		ML_RHETORIC_PARALLEL-SYNTAX	Parallel syntax
		ML_RHETORIC_PARTICULAR-AUDIENCE	particular audience
Q633885		ML_RHETORIC_PATHOS	Pathos
Q3412014		ML_RHETORIC_PERORATION	peroration
Q207174		ML_RHETORIC_PERSONIFICATION	personification
Q697279		ML_RHETORIC_PETITION	petition
Q3493035		ML_RHETORIC_PHALLOGOCENTRISM	Phallogocentrism
Q15814210		ML_RHETORIC_PHRONESIS	Phronesis
Q15761466		ML_RHETORIC_PHYSIS	Physis
Q5994		ML_RHETORIC_PIANO	piano
Q107185154		ML_RHETORIC_PISTIS	Pistis
Q188741		ML_RHETORIC_PLEONASM	pleonasm
		ML_RHETORIC_POETRIAE,-ARS	poetriae, ars
Q384593		ML_RHETORIC_POLICE-OFFICER	police officer
Q270141		ML_RHETORIC_POLYMATH	polymath
Q179465		ML_RHETORIC_POLYPHONY	polyphony
Q680469		ML_RHETORIC_POLYPTOTON	polyptoton
Q426492		ML_RHETORIC_POLYSYNDETON	polysyndeton
		ML_RHETORIC_PORTRAYL	portrayl
Q131015		ML_RHETORIC_POSITIVISM	positivism
Q1449592		ML_RHETORIC_PPM-STAR-CATALOGUE	PPM Star Catalogue
		ML_RHETORIC_PRAEDICANDI,-ARS	praedicandi, ars
Q126692		ML_RHETORIC_PRAGMATISM	pragmatism
Q202595		ML_RHETORIC_PREFECTURE-OF-GREECE	prefecture of Greece
Q3402394		ML_RHETORIC_PRESENCE	presence
Q200726		ML_RHETORIC_PROBABILITY-DISTRIBUTION	probability distribution
		ML_RHETORIC_PRONUNTIATO	pronuntiato
Q108163		ML_RHETORIC_PROPOSITION	proposition
Q2113832		ML_RHETORIC_PROTREPTICUS	protrepticus
Q3924778		ML_RHETORIC_PRUDENCE	prudence
Q21656365		ML_RHETORIC_PSOGOS	psogos
		ML_RHETORIC_PSYCHAGOGOS	psychagogos
Q10355327		ML_RHETORIC_PSYCHE	Psyche
Q17945		ML_RHETORIC_PUBLIC-SPHERE	public sphere
Q263668		ML_RHETORIC_PUN	pun
Q21136445		ML_RHETORIC_PURPOSE	purpose
Q273822		ML_RHETORIC_QUADRIVIUM	quadrivium
Q135672152		ML_RHETORIC_QUAESTIONES	quaestiones
		ML_RHETORIC_REASONING-BY-CONTRARIES	reasoning by contraries
Q18182606		ML_RHETORIC_RES	Res
Q64825398		ML_RHETORIC_RETIRED	retired
Q136388991		ML_RHETORIC_RHETORES-SELECTI	Rhetores selecti
Q119113119		ML_RHETORIC_RHETORIC-OF-FICTION,-ETHICS-OF-READING-AND-CRITICAL-PLURALISM——A-CRITICAL-REFLECTION-ON-BOOTHIAN-ETHICAL-CRITICISM	Rhetoric of Fiction, Ethics of Reading and Critical Pluralism——A Critical Reflection on Boothian Ethical Criticism
Q57919079		ML_RHETORIC_RHETORICAL-AUDIENCE-STUDIES-AND-RECEPTION-OF-RHETORIC	Rhetorical Audience Studies and Reception of Rhetoric
		ML_RHETORIC_RHETORICAL-DISCOURSE	rhetorical discourse
		ML_RHETORIC_RHETORICAL-OPPOSITION	rhetorical opposition
Q7320449		ML_RHETORIC_RHETORICAL-SITUATION	rhetorical situation
Q58350360		ML_RHETORIC_RHETORICAL-THEORY-AND-THE-CRITIQUE-OF-NATIONAL-IDENTITY-CONSTRUCTION	Rhetorical Theory and the Critique of National Identity Construction
Q361809		ML_RHETORIC_RHETORICIAN	rhetorician
Q232567		ML_RHETORIC_SALON-DE-PROVENCE	Salon-de-Provence
Q516766		ML_RHETORIC_SALUTATION	salutation
Q110074575		ML_RHETORIC_SANNION-(PAULY-WISSOWA)	Sannion (Pauly-Wissowa)
Q41679		ML_RHETORIC_SCHOLASTICISM	scholasticism
Q46857		ML_RHETORIC_SCIENTIFIC-METHOD	scientific method
Q111639198		ML_RHETORIC_SCIENTIFIC-REASONING-ABILITY-AND-CHILDREN'S-LEARNING-OF-SKILLS-TAUGHT-IN-COGNITIVE-THERAPY	Scientific Reasoning Ability and Children's Learning of Skills Taught in Cognitive Therapy
Q193626		ML_RHETORIC_SCIENTISM	scientism
Q4177226		ML_RHETORIC_SCIENTISTIC-MATERIALISM	scientistic materialism
Q2355080		ML_RHETORIC_SECOND-SOPHISTIC	Second Sophistic
Q39645		ML_RHETORIC_SEMANTICS	semantics
Q60195		ML_RHETORIC_SEMIOTICS	semiotics
Q37140445		ML_RHETORIC_SENATUS	Senatus
Q50515382		ML_RHETORIC_SENTENTIA:-EUROPEAN-JOURNAL-OF-HUMANITIES-AND-SOCIAL-SCIENCES	Sententia: European Journal of Humanities and Social Sciences
Q110727088		ML_RHETORIC_SHUI	Shui
Q7512973		ML_RHETORIC_SIGNIFYING-RAPPERS:-RAP-AND-RACE-IN-THE-URBAN-PRESENT	Signifying Rappers: Rap and Race in the Urban Present
Q199714		ML_RHETORIC_SIMILE	simile
Q1395219		ML_RHETORIC_SKEPTICISM	skepticism
Q1545853		ML_RHETORIC_SOLECISM	solecism
Q3750514		ML_RHETORIC_SOPHIST	sophist
		ML_RHETORIC_SORAISMUS	soraismus
Q545839		ML_RHETORIC_SPREZZATURA	sprezzatura
Q109560255		ML_RHETORIC_STARTING-POINTS-IN-PRACTICAL-ETHICS	Starting points in practical ethics
		ML_RHETORIC_STASIS-SYSTEM	stasis system
Q322265		ML_RHETORIC_STATUS-QUO	Status Quo
Q6671777		ML_RHETORIC_STRUCTURE	structure
		ML_RHETORIC_STUDIA-HUMANITAS	studia humanitas
Q1269323		ML_RHETORIC_SYLLEPSIS	syllepsis
Q107342		ML_RHETORIC_SYLLOGISM	syllogism
		ML_RHETORIC_SYLLOGISTIC-LOGIC	syllogistic logic
Q80071		ML_RHETORIC_SYMBOL	symbol
		ML_RHETORIC_SYMBOLIC-INDUCEMENT	symbolic inducement
		ML_RHETORIC_SYMPHERON	sympheron
Q3961434		ML_RHETORIC_SYNCHYSIS	Synchysis
Q180007		ML_RHETORIC_SYNCOPE	syncope
